Z [inches],OD1,OD2,OD3,OD4,OD5
1.4950,93.471,93.023,93.024,94.000,92.011
1.4975,90.540,90.548,97.284,88.535,89.931
1.5000,106.600,107.572,117.576,109.098,105.989
1.5025,137.983,137.136,134.243,138.094,135.480
1.5050,123.462,119.926,113.166,120.364,123.183
1.5075,97.065,94.591,92.935,94.205,96.863
1.5100,89.118,88.424,89.040,89.396,89.768
1.5125,88.589,87.003,87.151,88.191,86.261
1.5150,88.972,88.781,90.665,87.185,88.462
1.5175,91.812,89.809,92.589,91.822,90.523
1.5200,91.305,91.672,90.865,90.804,91.260
1.5225,90.782,90.078,91.486,91.164,89.736
1.5250,95.002,92.845,94.055,94.472,93.378
1.5275,92.717,93.952,94.865,94.451,93.318
1.5300,90.364,92.115,89.143,92.144,90.931
1.5325,90.207,90.123,89.611,92.000,91.410
1.5350,90.765,90.033,89.990,91.870,90.803
1.5375,89.526,89.086,87.568,89.877,88.222
1.5400,89.636,86.343,89.230,89.884,88.699
1.5425,89.979,89.778,89.971,92.672,89.688
1.5450,89.208,89.109,89.745,90.897,89.063
1.5475,89.811,89.828,89.793,91.904,89.196
1.5500,89.992,90.865,92.260,91.089,89.205
1.5525,90.117,92.651,92.724,92.918,90.114
1.5550,89.283,90.937,91.729,92.000,88.523
1.5575,91.631,91.172,90.780,90.658,90.619
1.5600,90.876,90.174,90.545,89.877,90.674
1.5625,90.990,90.116,91.480,90.945,91.447
1.5650,91.801,90.125,90.067,90.000,89.987
1.5675,90.938,88.381,89.547,90.082,89.724
1.5700,89.959,88.419,88.063,88.034,89.605
1.5725,86.323,87.232,88.449,86.027,87.785
1.5750,88.787,88.099,93.561,88.979,87.971
1.5775,92.710,116.907,140.103,92.959,91.969
1.5800,244.874,219.323,242.507,255.000,91.108
1.5825,255.000,224.965,207.125,255.000,241.355
